ID,City,Lat,Lon,Country,State
4179667,Americus,32.07239,-84.23269,US,GA
4180386,Athens,33.96095,-83.37794,US,GA
4180439,Atlanta,33.749,-84.38798,US,GA
4180531,Augusta,33.47097,-81.97484,US,GA
4181936,Belvedere Park,33.75483,-84.26742,US,GA
4184530,Brookhaven,33.85844,-84.3402,US,GA
4184845,Brunswick,31.14995,-81.49149,US,GA
4185657,Calhoun,34.50259,-84.95105,US,GA
4186213,Canton,34.23676,-84.49076,US,GA
4186416,Carrollton,33.58011,-85.07661,US,GA
4186531,Cartersville,34.16533,-84.80231,US,GA
4187204,Chamblee,33.89205,-84.29881,US,GA
4188985,Columbus,32.46098,-84.98771,US,GA
4189213,Conyers,33.66761,-84.01769,US,GA
4190581,Dalton,34.7698,-84.97022,US,GA
4191124,Decatur,33.77483,-84.29631,US,GA
4191955,Douglasville,33.7515,-84.74771,US,GA
4192205,Dublin,32.54044,-82.90375,US,GA
4192289,Duluth,34.00288,-84.14464,US,GA
4192375,Dunwoody,33.94621,-84.33465,US,GA
4192674,East Point,33.67955,-84.43937,US,GA
4193699,Evans,33.53375,-82.13067,US,GA
4194474,Fayetteville,33.44873,-84.45493,US,GA
4195701,Forest Park,33.62205,-84.36909,US,GA
4196586,Gainesville,34.29788,-83.82407,US,GA
4198322,Griffin,33.24678,-84.26409,US,GA
4200671,Hinesville,31.84688,-81.59595,US,GA
4203696,Kennesaw,34.02343,-84.61549,US,GA
4204007,Kingsland,30.79996,-81.68983,US,GA
4204230,LaGrange,33.03929,-85.03133,US,GA
4205196,Lawrenceville,33.95621,-83.98796,US,GA
4205885,Lithia Springs,33.794,-84.66049,US,GA
4207226,Mableton,33.81872,-84.58243,US,GA
4207400,Macon,32.84069,-83.6324,US,GA
4207783,Marietta,33.9526,-84.54993,US,GA
4207981,Martinez,33.51736,-82.07567,US,GA
4208442,McDonough,33.44734,-84.14686,US,GA
4209448,Milledgeville,33.08014,-83.2321,US,GA
4212684,Newnan,33.38067,-84.79966,US,GA
4212888,Norcross,33.94121,-84.21353,US,GA
4212937,North Atlanta,33.8651,-84.33659,US,GA
4212992,North Decatur,33.79038,-84.30603,US,GA
4212995,North Druid Hills,33.81677,-84.31326,US,GA
4215110,Peachtree City,33.39678,-84.59576,US,GA
4215114,Peachtree Corners,33.9701,-84.22159,US,GA
4215391,Perry,32.45821,-83.73157,US,GA
4216948,Pooler,32.11548,-81.24706,US,GA
4218165,Redan,33.74538,-84.13158,US,GA
4219001,Riverdale,33.57261,-84.41326,US,GA
4219762,Rome,34.25704,-85.16467,US,GA
4219934,Roswell,34.02316,-84.36159,US,GA
4220629,St. Marys,30.73051,-81.54649,US,GA
4221333,Sandy Springs,33.92427,-84.37854,US,GA
4221552,Savannah,32.08354,-81.09983,US,GA
4223379,Smyrna,33.88399,-84.51438,US,GA
4223413,Snellville,33.85733,-84.01991,US,GA
4224413,Statesboro,32.44879,-81.78317,US,GA
4224681,Stockbridge,33.54428,-84.23381,US,GA
4225039,Sugar Hill,34.10649,-84.03352,US,GA
4225309,Suwanee,34.05149,-84.0713,US,GA
4226348,Thomasville,30.83658,-83.97878,US,GA
4226552,Tifton,31.45046,-83.5085,US,GA
4227213,Tucker,33.85455,-84.21714,US,GA
4227777,Union City,33.58706,-84.54243,US,GA
4228147,Valdosta,30.83334,-83.28032,US,GA
4229476,Warner Robins,32.61574,-83.62664,US,GA
4231354,Wilmington Island,32.00355,-80.97372,US,GA
4231523,Winder,33.99261,-83.72017,US,GA
4231874,Woodstock,34.10149,-84.51938,US,GA
4232679,Alton,38.8906,-90.18428,US,IL
4233813,Belleville,38.52005,-89.98399,US,IL
4235193,Carbondale,37.72727,-89.21675,US,IL
4235668,Charleston,39.49615,-88.17615,US,IL
4236191,Collinsville,38.67033,-89.98455,US,IL
4236895,Decatur,39.84031,-88.9548,US,IL
4237579,East Saint Louis,38.6245,-90.15094,US,IL
4237717,Edwardsville,38.81144,-89.95316,US,IL
4238132,Fairview Heights,38.58894,-89.99038,US,IL
4239509,Godfrey,38.9556,-90.18678,US,IL
4239714,Granite City,38.70144,-90.14872,US,IL
4241704,Jacksonville,39.73394,-90.22901,US,IL
4243899,Marion,37.73061,-88.93313,US,IL
4244099,Mattoon,39.48309,-88.37283,US,IL
4245152,Mount Vernon,38.31727,-88.90312,US,IL
4245926,O'Fallon,38.59227,-89.91121,US,IL
4247703,Quincy,39.9356,-91.40987,US,IL
4250542,Springfield,39.80172,-89.64371,US,IL
4251841,Upper Alton,38.91144,-90.15066,US,IL
4254021,Avon,39.76282,-86.39972,US,IN
4254679,Bloomington,39.16533,-86.52639,US,IN
4254957,Broad Ripple,39.86671,-86.14165,US,IN
4255056,Brownsburg,39.84338,-86.39777,US,IN
4255466,Carmel,39.97837,-86.11804,US,IN
4255836,Clarksville,38.29674,-85.75996,US,IN
4256038,Columbus,39.20144,-85.92138,US,IN
4257227,Evansville,37.97476,-87.55585,US,IN
4257494,Fishers,39.95559,-86.01387,US,IN
4258285,Greenfield,39.78504,-85.76942,US,IN
4258313,Greenwood,39.61366,-86.10665,US,IN
4259418,Indianapolis,39.76838,-86.15804,US,IN
4259640,Jasper,38.39144,-86.93111,US,IN
4259671,Jeffersonville,38.27757,-85.73718,US,IN
4260210,Lawrence,39.83865,-86.02526,US,IN
4262045,New Albany,38.28562,-85.82413,US,IN
4262072,New Castle,39.92894,-85.37025,US,IN
4263108,Plainfield,39.70421,-86.39944,US,IN
4263681,Richmond,39.82894,-84.89024,US,IN
4264617,Seymour,38.95922,-85.89025,US,IN
4264688,Shelbyville,39.52144,-85.77692,US,IN
4265737,Terre Haute,39.4667,-87.41391,US,IN
4266307,Vincennes,38.67727,-87.52863,US,IN
4267336,Zionsville,39.95087,-86.26194,US,IN
4270356,Derby,37.54557,-97.26893,US,KS
4271086,Emporia,38.4039,-96.18166,US,KS
4271935,Gardner,38.81084,-94.92719,US,KS
4272340,Great Bend,38.36446,-98.76481,US,KS
4272782,Hays,38.87918,-99.32677,US,KS
4273299,Hutchinson,38.06084,-97.92977,US,KS
4273680,Junction City,39.02861,-96.8314,US,KS
4273837,Kansas City,39.11417,-94.62746,US,KS
4274277,Lawrence,38.97167,-95.23525,US,KS
4274305,Leavenworth,39.31111,-94.92246,US,KS
4274317,Leawood,38.96667,-94.6169,US,KS
4274356,Lenexa,38.95362,-94.73357,US,KS
4274994,Manhattan,39.18361,-96.57167,US,KS
4276248,Newton,38.04668,-97.34504,US,KS
4276614,Olathe,38.8814,-94.81913,US,KS
4276873,Overland Park,38.98223,-94.67079,US,KS
4277241,Pittsburg,37.41088,-94.70496,US,KS
4277718,Prairie Village,38.99167,-94.63357,US,KS
4278890,Salina,38.84028,-97.61142,US,KS
4279247,Shawnee,39.04167,-94.72024,US,KS
4280539,Topeka,39.04833,-95.67804,US,KS
4281730,Wichita,37.69224,-97.33754,US,KS
4282757,Ashland,38.47841,-82.63794,US,KY
4285268,Bowling Green,36.99032,-86.4436,US,KY
4286281,Burlington,39.02756,-84.72411,US,KY
4288809,Covington,39.08367,-84.50855,US,KY
4289445,Danville,37.64563,-84.77217,US,KY
4290988,Elizabethtown,37.69395,-85.85913,US,KY
4291255,Erlanger,39.01673,-84.60078,US,KY
4291620,Fern Creek,38.15979,-85.58774,US,KY
4291945,Florence,38.99895,-84.62661,US,KY
4292071,Fort Thomas,39.07506,-84.44716,US,KY
4292188,Frankfort,38.20091,-84.87328,US,KY
4292686,Georgetown,38.2098,-84.55883,US,KY
4294494,Henderson,37.83615,-87.59001,US,KY
4294799,Highview,38.14285,-85.62413,US,KY
4295251,Hopkinsville,36.86561,-87.49117,US,KY
4295776,Independence,38.94312,-84.54411,US,KY
4295940,Ironville,38.45647,-82.69238,US,KY
4296218,Jeffersontown,38.19424,-85.5644,US,KY
4297983,Lexington,37.98869,-84.47772,US,KY
4297999,Lexington-Fayette,38.0498,-84.45855,US,KY
4299276,Louisville,38.25424,-85.75941,US,KY
4299670,Madisonville,37.3281,-87.49889,US,KY
4300488,Meads,38.41258,-82.70905,US,KY
4302035,Murray,36.61033,-88.31476,US,KY
4302504,Newburg,38.16007,-85.65968,US,KY
4302529,Newport,39.09145,-84.49578,US,KY
4302561,Nicholasville,37.88063,-84.573,US,KY
4303012,Okolona,38.14118,-85.68774,US,KY
4303436,Owensboro,37.77422,-87.11333,US,KY
4304713,Pleasure Ridge Park,38.14535,-85.8583,US,KY
4305504,Radcliff,37.84035,-85.94913,US,KY
4305974,Richmond,37.74786,-84.29465,US,KY
4307238,Saint Matthews,38.25285,-85.65579,US,KY
4308122,Shelbyville,38.21201,-85.22357,US,KY
4308225,Shively,38.20007,-85.82274,US,KY
4311963,Valley Station,38.11118,-85.87024,US,KY
4313697,Winchester,37.99008,-84.17965,US,KY
4314550,Alexandria,31.31129,-92.44514,US,LA
4315588,Baton Rouge,30.44332,-91.18747,US,LA
4315768,Bayou Cane,29.6241,-90.7512,US,LA
4317639,Bossier City,32.51599,-93.73212,US,LA
4319435,Central,30.55435,-91.03677,US,LA
4319518,Chalmette,29.94296,-89.96537,US,LA
4323873,Estelle,29.84576,-90.10674,US,LA
4326575,Gretna,29.91465,-90.05396,US,LA
4326868,Hammond,30.50463,-90.46293,US,LA
4327047,Harvey,29.90354,-90.07729,US,LA
4328010,Houma,29.59577,-90.71953,US,LA
4329753,Kenner,29.99409,-90.24174,US,LA
4330145,Lafayette,30.22409,-92.01984,US,LA
4330236,Lake Charles,30.21309,-93.2044,US,LA
4330525,Laplace,30.06698,-90.48147,US,LA
4332628,Marrero,29.89937,-90.10035,US,LA
4333177,Metairie,29.98409,-90.15285,US,LA
4333190,Metairie Terrace,29.97854,-90.16396,US,LA
4333669,Monroe,32.50931,-92.1193,US,LA
4334720,Natchitoches,31.76072,-93.08627,US,LA
4334971,New Iberia,30.00354,-91.81873,US,LA
4335045,New Orleans,29.95465,-90.07507,US,LA
4336153,Opelousas,30.53353,-92.08151,US,LA
4338012,Prairieville,30.30297,-90.97205,US,LA
4339348,Ruston,32.52321,-92.63793,US,LA
4341378,Shenandoah,30.4013,-91.00094,US,LA
4341513,Shreveport,32.52515,-93.75018,US,LA
4341727,Slidell,30.27519,-89.78117,US,LA
4342816,Sulphur,30.23659,-93.37738,US,LA
4343327,Terrytown,29.91021,-90.03257,US,LA
4346788,Zachary,30.64852,-91.1565,US,LA
4346913,Aberdeen,39.50956,-76.16412,US,MD
4346991,Adelphi,39.00317,-76.97192,US,MD
4347242,Annapolis,38.97859,-76.49184,US,MD
4347371,Arbutus,39.25455,-76.69997,US,MD
4347426,Arnold,39.03206,-76.50274,US,MD
4347553,Aspen Hill,39.07955,-77.07303,US,MD
4347778,Baltimore,39.29038,-76.61219,US,MD
4347839,Ballenger Creek,39.3726,-77.43526,US,MD
4348353,Beltsville,39.03483,-76.90747,US,MD
4348599,Bethesda,38.98067,-77.10026,US,MD
4349159,Bowie,38.94278,-76.73028,US,MD
4350160,Calverton,39.05761,-76.93581,US,MD
4350288,Camp Springs,38.804,-76.90664,US,MD
4350413,Carney,39.39427,-76.52358,US,MD
4350635,Catonsville,39.27205,-76.73192,US,MD
4351383,Chillum,38.96372,-76.99081,US,MD
4351851,Cloverly,39.10816,-76.99775,US,MD
4351871,Clinton,38.76511,-76.89831,US,MD
4351887,Cockeysville,39.48122,-76.64386,US,MD
4351977,College Park,38.98067,-76.93692,US,MD
4352053,Columbia,39.24038,-76.83942,US,MD
4352539,Crofton,39.00178,-76.68747,US,MD
4352681,Cumberland,39.65287,-78.76252,US,MD
4352728,Damascus,39.28844,-77.20387,US,MD
4353765,Dundalk,39.25066,-76.52052,US,MD
4353925,East Riverdale,38.96206,-76.92192,US,MD
